"columnID","systemID","data_type","dataset_name","createdAt","rowsUpdatedAt","viewLastModified","indexUpdatedAt","childView","department","field_name","field_type","field_render_type","field_api_name","field_description"
275149500,"yitu-d5am","tabular","Film Locations in San Francisco",1320948813,1477603039,1477603091,1477603711,,"Film Commission","Title","text","text","title",
275149501,"yitu-d5am","tabular","Film Locations in San Francisco",1320948813,1477603039,1477603091,1477603711,,"Film Commission","Release Year","number","number","release_year",
275149502,"yitu-d5am","tabular","Film Locations in San Francisco",1320948813,1477603039,1477603091,1477603711,,"Film Commission","Locations","text","text","locations",
275149503,"yitu-d5am","tabular","Film Locations in San Francisco",1320948813,1477603039,1477603091,1477603711,,"Film Commission","Fun Facts","text","text","fun_facts",
275149504,"yitu-d5am","tabular","Film Locations in San Francisco",1320948813,1477603039,1477603091,1477603711,,"Film Commission","Production Company","text","text","production_company",
275149505,"yitu-d5am","tabular","Film Locations in San Francisco",1320948813,1477603039,1477603091,1477603711,,"Film Commission","Distributor","text","text","distributor",
275149506,"yitu-d5am","tabular","Film Locations in San Francisco",1320948813,1477603039,1477603091,1477603711,,"Film Commission","Director","text","text","director",
275149507,"yitu-d5am","tabular","Film Locations in San Francisco",1320948813,1477603039,1477603091,1477603711,,"Film Commission","Writer","text","text","writer",
275149508,"yitu-d5am","tabular","Film Locations in San Francisco",1320948813,1477603039,1477603091,1477603711,,"Film Commission","Actor 1","text","text","actor_1",
275149509,"yitu-d5am","tabular","Film Locations in San Francisco",1320948813,1477603039,1477603091,1477603711,,"Film Commission","Actor 2","text","text","actor_2",
275149510,"yitu-d5am","tabular","Film Locations in San Francisco",1320948813,1477603039,1477603091,1477603711,,"Film Commission","Actor 3","text","text","actor_3",
219196213,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","IncidntNum","text","text","incidntnum",
219196214,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","Category","text","text","category",
219196215,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","Descript","text","text","descript",
219196216,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","DayOfWeek","text","text","dayofweek",
219196217,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","Date","calendar_date","calendar_date","date",
219196218,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","Time","text","text","time",
219196219,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","PdDistrict","text","text","pddistrict","PD District Effective Through 7-18-2015"
219196220,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","Resolution","text","text","resolution",
219196221,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","Address","text","text","address",
219196222,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","X","number","number","x",
219196223,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","Y","number","number","y",
219196224,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","Location","location","location","location","Location"
219196225,"tmnf-yvry","tabular","SFPD Incidents - from 1 January 2003",1330116913,1481886688,1481886310,1481887565,,"Police Department","PdId","number","number","pdid","Unique Identifier for use in update and insert operations"
261422795,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Location Id","text","text","ttxid","Unique identifier that combines certificate number, business number and location number."
261422796,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Business Account Number","text","text","certificate_number","Seven digit number assigned to registered business accounts"
261422797,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Ownership Name","text","text","ownership_name","Business owner(s) name"
261422798,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","DBA Name","text","text","dba_name","Doing Business As Name or Location Name"
261422799,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Street Address","text","text","full_business_address","Business location street address"
261422800,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","City","text","text","city","Business location city"
261422801,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","State","text","text","state","Business location state"
261422802,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Source Zipcode","text","text","business_zip","Business location zip code"
261422803,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Business Start Date","calendar_date","calendar_date","dba_start_date","Start date of the business"
261422804,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Business End Date","calendar_date","calendar_date","dba_end_date","End date of the business"
261422805,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Location Start Date","calendar_date","calendar_date","location_start_date","Start date at the location"
261422806,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Location End Date","calendar_date","calendar_date","location_end_date","End date at the location, if closed"
261422807,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Mail Address","text","text","mailing_address_1","Address for mailing"
261839489,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Mail City","text","text","mail_city","Mailing address city\n"
261839490,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Mail Zipcode","text","text","mail_zipcode",
261839491,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Mail State","text","text","mail_state","Mailing address state\n"
261839517,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","NAICS Code","text","text","naic_code","The North American Industry Classification System (NAICS) is a standard used by Federal statistical agencies for the purpose of collecting, analyzing and publishing statistical data related to the U.S. business economy. A subset of these are options on the business registration form used in the administration of the City and County's tax code. The registrant indicates the business activity on the City and County's tax registration forms.\n\nSee NAICS Codes tab in the attached data dictionary under About > Attachments."
261839518,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","NAICS Code Description","text","text","naic_code_description","The Business Activity that the NAICS code maps on to (multiple if there are multiple codes indicated for the business). "
261839526,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Parking Tax","checkbox","checkbox","parking_tax","Whether or not this business pays the parking tax"
261839528,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Transient Occupancy Tax","checkbox","checkbox","transient_occupancy_tax","Whether or not this business pays the transient occupancy tax"
263616756,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","LIC Code","text","text","lic","The LIC code of the business, if multiple, separated by spaces"
263616748,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","LIC Code Description","text","text","lic_code_description","The LIC code description (""multiple"" if there are multiple codes for a business)\n"
261839492,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Supervisor District","text","text","supervisor_district","The Supervisor District in which the business location falls. Not applicable outside of San Francisco.\n\nBoundary reference: https://data.sfgov.org/d/xz9b-wyfc\n"
261839493,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Neighborhoods - Analysis Boundaries","text","text","neighborhoods_analysis_boundaries","The Analysis Neighborhood in which the business location falls. Not applicable outside of San Francisco.\n\nBoundary reference: https://data.sfgov.org/d/p5b7-5n3h\n"
261839516,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Business Corridor","text","text","business_corridor","The Business Corridor in which the the business location falls, if it is in one. Not all business locations are in a corridor.\n\nBoundary reference: https://data.sfgov.org/d/h7xa-2xwk\n"
261422811,"g8m3-pdis","tabular","Registered Business Locations - San Francisco",1389898067,1481893271,1481887807,1481893610,,"Treasurer-Tax Collector","Business Location","location","location","location","The latitude and longitude of the business location for mapping purposes."
230488349,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","CaseID","number","number","case_id","The unique ID of the service request created."
230488350,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Opened","calendar_date","calendar_date","opened","The date and time when the service request was made"
230488351,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Closed","calendar_date","calendar_date","closed","The date and time when the service request was closed"
230488352,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Updated","calendar_date","calendar_date","updated","The date and time when the service request was last modified. For requests with status=closed, this will be the date the request was closed"
230488353,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Status","text","text","status","The current status of the service request. "
230488354,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Status Notes","text","text","status_notes"," Explanation of why status was changed to current state or more details on current status than conveyed with status alone "
230488355,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Responsible Agency","text","text","responsible_agency","The agency responsible for fulfilling or otherwise addressing the service request."
230488356,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Category","text","text","category",
230488357,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Request Type","text","text","request_type",
230488358,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Request Details","text","text","request_details",
230488359,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Address","text","text","address",
230488360,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Supervisor District","number","number","supervisor_district",
230488361,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Neighborhood","text","text","neighborhood",
230488362,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Point","location","location","point","latitude and longitude using the (WGS84) projection."
230488363,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Source","text","text","source","how the service request was made"
230488364,"vw6y-z8j6","tabular","Case Data from San Francisco 311 (SF311)",1318104077,1481824842,1475604580,1481825226,,"311","Media URL","url","url","media_url",
257606074,"w4sk-nq57","tabular","HSA 90 day emergency shelter waitlist",1389123350,1481853911,1464993976,1481853953,,"311","Position","number","number","position_number","The client's position on the wait list at the time the report was published."
